todo_text,priority
"# TODO(joao): this is not torch.compile-friendly, find a work-around. If the cache is not empty,",1
"# TODO(joao): support static caches in assisted generation. assisted generation needs to roll back caches,",2
# TODO (joao): generalize this check with other types of inputs,3
# TODO (joao): remove `user_defined_cache` after v4.47 (remove default conversion to legacy format),1
# TODO (joao): remove this when torch's support for control flow is not experimental (https://pytorch.org/docs/stable/generated/torch.cond.html),1
"# TODO (joao): this OP throws ""skipping cudagraphs due to ['incompatible ops']"", find solution",1
TODO: standardize cache formats and make all models compatible with `Cache`. It would remove the need,2
# TODO: Move BatchFeature to be imported by both image_processing_utils and image_processing_utils,2
# TODO: (Amy) - factor out the common parts of this and the feature extractor,2
# TODO (Amy): Accept 1/3/4 channel numpy array as input and return np.array as default,3
# TODO raise a warning here instead of simply logging?,4
# TODO: The default inputs only work for text models. We need to add support for vision/audio models.,2
# TODO use valid to mask invalid areas due to padding in loss,2
"# TODO: When tracing with TorchDynamo with fullgraph=True, the model is recompiled depending on the input",2
# TODO: maybe revisit this with https://github.com/pytorch/pytorch/pull/114823 in PyTorch 2.3.,4
"# TODO: For dynamo, rather use a check on fullgraph=True once this is possible (https://github.com/pytorch/pytorch/pull/120400).",3
"# TODO: Remove the `query_length != 1` check once Flash Attention for RoCm is bumped to 2.1. For details, please see the comment in transformers.models.llama.modeling_llama.LlamaFlashAttention2.__init__.",3
# TODO (joao): use the new `original_max_position_embeddings` from rope_scaling,3
# TODO (joao): update logic for the inclusion of `original_max_position_embeddings`,2
# TODO Matt: This is a workaround for older versions of datasets that are missing the `cols_to_retain`,4
# TODO (joao): flagged for replacement (by `_v2_resized_token_embeddings`) due to embeddings refactor,1
# TODO (joao): flagged for delection due to embeddings refactor,1
# TODO (joao): flagged for replacement (by `_v2_resize_token_embeddings`) due to embeddings refactor,1
# TODO (joao): this one probably needs a v2 version with other models,2
# TODO (joao): flagged for replacement (by `_v2_get_resized_lm_head_bias`) due to embeddings refactor,1
# TODO (joao): flagged for replacement (by `_v2_get_resized_embeddings`) due to embeddings refactor,1
"# TODO Matt: This is a temporary workaround to allow weight renaming, but requires a method",1
TODO(Patrick): Delete safety argument `_enable=True` at next major version. .,2
# TODO: @sgugger replace this check with version check at the next `accelerate` release,1
# TODO: group all errors and raise at the end.,2
# TODO: consider removing used param_parts from state_dict before return,2
# TODO (joao): remove `GenerationMixin` inheritance in v4.50,1
expected_keys = loaded_state_dict_keys  # plug for missing expected_keys. TODO: replace with proper keys,2
